latitude,longitude,status,detected_at,source,copernicus_product_id,validation_status,notes
31.8407305635,30.6304854915,Oil spill,2019-04-05T03:58:50Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190405T035940_20190405T040005_015666_01D628_676F.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.3494297720,33.6059383107,Oil spill,2019-04-05T15:48:36Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190405T154836_20190405T154901_026657_02FDC3_95CA.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6327022378,32.2378394081,Oil spill,2019-04-05T15:48:36Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190405T154901_20190405T154926_026657_02FDC3_00D2.SAFE;S1A_IW_GRDH_1SDV_20190405T154836_20190405T154901_026657_02FDC3_95CA.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.6343186052,32.8902739751,Oil spill,2019-04-05T15:48:36Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190405T154901_20190405T154926_026657_02FDC3_00D2.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.3131681895,33.9477997205,Oil spill,2019-04-05T15:48:36Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190405T154926_20190405T154951_026657_02FDC3_6F15.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.1695617183,33.2236224999,Oil spill,2019-04-06T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190406T035207_20190406T035232_026664_02FE02_3AA5.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.2109270213,33.2437173369,Oil spill,2019-04-06T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190406T035142_20190406T035207_026664_02FE02_BB0A.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.9858745321,32.3787007092,Oil spill,2019-04-06T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190406T035207_20190406T035232_026664_02FE02_3AA5.SAFE;S1A_IW_GRDH_1SDV_20190406T035142_20190406T035207_026664_02FE02_BB0A.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.3361078973,32.1920912417,Oil spill,2019-04-06T03:51:17Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190406T035232_20190406T035258_026664_02FE02_55D2.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.8946852798,34.4082981459,Oil spill,2019-04-06T15:39:42Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190406T154032_20190406T154057_015688_01D6ED_B234.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.5597896565,33.1922213134,Oil spill,2019-04-07T03:42:34Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190407T034259_20190407T034324_015695_01D728_6F12.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.6546349852,35.3744620229,Oil spill,2019-04-08T03:34:54Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190408T033454_20190408T033519_026693_02FF08_729E.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6927357347,32.0915439393,Oil spill,2019-04-10T15:56:37Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190410T155702_20190410T155727_026730_030069_18D5.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.4009616992,32.7480286513,Oil spill,2019-04-11T15:47:46Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190411T154811_20190411T154836_015761_01D947_1908.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
32.9453908094,31.7469258078,Oil spill,2019-04-11T15:47:46Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190411T154836_20190411T154901_015761_01D947_D398.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
33.2743999592,33.1269017595,Oil spill,2019-04-12T03:50:40Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.7142093178,32.2739565153,Oil spill,2019-04-12T03:50:40Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190412T035040_20190412T035105_015768_01D985_9F88.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.8922278820,33.0914131982,Oil spill,2019-04-12T03:50:40Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190412T035130_20190412T035155_015768_01D985_E914.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.6300877752,34.1549358591,Oil spill,2019-04-12T15:40:08Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190412T154123_20190412T154148_026759_03016C_2C5E.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
34.2236863467,31.2706701170,Oil spill,2019-04-16T15:56:41Z,DARTIS_2019,S1B_IW_GRDH_1SDV_20190416T155710_20190416T155735_015834_01DBB3_443C.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
31.6768933088,30.7092013848,Oil spill,2019-04-22T15:56:38Z,DARTIS_2019,S1A_IW_GRDH_1SDV_20190422T155703_20190422T155728_026905_0306B7_01CA.SAFE,Unverified,Imported from DARTIS_2019.tab; deduplicated by Sentinel ID
